date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:54:52	795/795	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2027%20Dec%202024%2021:54:53%20GMT	http://risingtheme.com/html/demo-newvilla/newvilla/Home.html	C:/Users/user/Desktop/Centralised%20property%20reservation%20platform/risingtheme.com/html/demo-newvilla/newvilla/index.0.delayed	(from )
00:54:54	595601/595601	---M-Z	200	added ('OK')	text/html	date:Wed,%2010%20Jul%202024%2001:47:44%20GMT	https://risingtheme.com/html/demo-newvilla/newvilla/Home.html	C:/Users/user/Desktop/Centralised%20property%20reservation%20platform/risingtheme.com/html/demo-newvilla/newvilla/Home.html	(from )
00:54:55	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2027%20Dec%202024%2021:54:55%20GMT	https://risingtheme.com/robots.txt		(from )
00:54:55	766/766	---M-Z	200	added ('OK')	image/x-icon	date:Tue,%2006%20Oct%202020%2002:49:32%20GMT	https://risingtheme.com/html/demo-newvilla/newvilla/assets/img/favicon.ico	C:/Users/user/Desktop/Centralised%20property%20reservation%20platform/risingtheme.com/html/demo-newvilla/newvilla/assets/img/favicon.ico	(from https://risingtheme.com/html/demo-newvilla/newvilla/Home.html)
00:54:56	15576/15576	---M-Z	200	added ('OK')	text/css	date:Sun,%2023%20Jan%202022%2018:20:56%20GMT	https://risingtheme.com/html/demo-newvilla/newvilla/assets/css/plugins/swiper-bundle.min.css	C:/Users/user/Desktop/Centralised%20property%20reservation%20platform/risingtheme.com/html/demo-newvilla/newvilla/assets/css/plugins/swiper-bundle.min.css	(from https://risingtheme.com/html/demo-newvilla/newvilla/Home.html)
00:54:57	155847/155847	---M-Z	200	added ('OK')	text/css	date:Mon,%2011%20Apr%202022%2002:04:18%20GMT	https://risingtheme.com/html/demo-newvilla/newvilla/assets/css/vendor/bootstrap.min.css	C:/Users/user/Desktop/Centralised%20property%20reservation%20platform/risingtheme.com/html/demo-newvilla/newvilla/assets/css/vendor/bootstrap.min.css	(from https://risingtheme.com/html/demo-newvilla/newvilla/Home.html)
00:54:57	13785/13785	---M-Z	200	added ('OK')	text/css	date:Thu,%2012%20Jan%202023%2018:49:28%20GMT	https://risingtheme.com/html/demo-newvilla/newvilla/assets/css/plugins/glightbox.min.css	C:/Users/user/Desktop/Centralised%20property%20reservation%20platform/risingtheme.com/html/demo-newvilla/newvilla/assets/css/plugins/glightbox.min.css	(from https://risingtheme.com/html/demo-newvilla/newvilla/Home.html)
00:54:57	26053/26053	---M-Z	200	added ('OK')	text/css	date:Sat,%2007%20Jul%202018%2015:40:38%20GMT	https://risingtheme.com/html/demo-newvilla/newvilla/assets/css/plugins/aos.css	C:/Users/user/Desktop/Centralised%20property%20reservation%20platform/risingtheme.com/html/demo-newvilla/newvilla/assets/css/plugins/aos.css	(from https://risingtheme.com/html/demo-newvilla/newvilla/Home.html)
00:54:58	246634/246634	---M-Z	200	added ('OK')	text/css	date:Mon,%2008%20Jul%202024%2021:53:04%20GMT	https://risingtheme.com/html/demo-newvilla/newvilla/assets/css/style.css	C:/Users/user/Desktop/Centralised%20property%20reservation%20platform/risingtheme.com/html/demo-newvilla/newvilla/assets/css/style.css	(from https://risingtheme.com/html/demo-newvilla/newvilla/Home.html)
00:54:58	3075/3075	---M--	200	added ('OK')	image/png	date:Mon,%2016%20Oct%202023%2020:26:28%20GMT	https://risingtheme.com/html/demo-newvilla/newvilla/assets/img/logo/nav-log.png	C:/Users/user/Desktop/Centralised%20property%20reservation%20platform/risingtheme.com/html/demo-newvilla/newvilla/assets/img/logo/nav-log.png	(from https://risingtheme.com/html/demo-newvilla/newvilla/Home.html)
00:54:58	390367/390367	---M-Z	200	added ('OK')	text/html	date:Wed,%2010%20Jul%202024%2001:47:44%20GMT	https://risingtheme.com/html/demo-newvilla/newvilla/index-2.html	C:/Users/user/Desktop/Centralised%20property%20reservation%20platform/risingtheme.com/html/demo-newvilla/newvilla/index-2.html	(from https://risingtheme.com/html/demo-newvilla/newvilla/Home.html)
00:54:59	391624/391624	---M-Z	200	added ('OK')	text/html	date:Wed,%2010%20Jul%202024%2001:47:44%20GMT	https://risingtheme.com/html/demo-newvilla/newvilla/index-3.html	C:/Users/user/Desktop/Centralised%20property%20reservation%20platform/risingtheme.com/html/demo-newvilla/newvilla/index-3.html	(from https://risingtheme.com/html/demo-newvilla/newvilla/Home.html)
00:54:59	496229/496229	---M-Z	200	added ('OK')	text/html	date:Wed,%2010%20Jul%202024%2001:47:44%20GMT	https://risingtheme.com/html/demo-newvilla/newvilla/Home.html	C:/Users/user/Desktop/Centralised%20property%20reservation%20platform/risingtheme.com/html/demo-newvilla/newvilla/Home.html	(from https://risingtheme.com/html/demo-newvilla/newvilla/Home.html)
00:55:01	540930/540930	---M-Z	200	added ('OK')	text/html	date:Wed,%2010%20Jul%202024%2002:15:34%20GMT	https://risingtheme.com/html/demo-newvilla/newvilla/index-5.html	C:/Users/user/Desktop/Centralised%20property%20reservation%20platform/risingtheme.com/html/demo-newvilla/newvilla/index-5.html	(from https://risingtheme.com/html/demo-newvilla/newvilla/Home.html)
00:55:01	629333/629333	---M-Z	200	added ('OK')	text/html	date:Wed,%2010%20Jul%202024%2001:47:44%20GMT	https://risingtheme.com/html/demo-newvilla/newvilla/listing-list.html	C:/Users/user/Desktop/Centralised%20property%20reservation%20platform/risingtheme.com/html/demo-newvilla/newvilla/listing-list.html	(from https://risingtheme.com/html/demo-newvilla/newvilla/Home.html)
00:55:01	628540/628540	---M-Z	200	added ('OK')	text/html	date:Wed,%2010%20Jul%202024%2001:47:44%20GMT	https://risingtheme.com/html/demo-newvilla/newvilla/listing-right-sidebar.html	C:/Users/user/Desktop/Centralised%20property%20reservation%20platform/risingtheme.com/html/demo-newvilla/newvilla/listing-right-sidebar.html	(from https://risingtheme.com/html/demo-newvilla/newvilla/Home.html)
